book,group,keyword,page,ctx_before,ctx_after
xianzhi,A,国民党,p-0035,"参议会选出李显威为省参议员,杨旭为修补参议员。是年","苍溪县党部大力发展国民党员,扩大组织,至民国38年(1949),县党部辖16个区党部、116个区分部。民国35年(1946)3月“三青团苍溪分团部成立,下设58个区队、236个分队。3月“全县建乡(镇)义勇警察队15个,队员2880人,步枪1615支,手枪43支。|11月改名为乡"
xianzhi,A,三青团,p-0035,"党部、116个区分部。民国35年(1946)3月“","苍溪分团部成立,下设58个区队、236个分队。3月“全县建乡(镇)义勇警察队15个,队员2880人,步枪1615支,手枪43支。|11月改名为乡(镇)警察队。4月19日_县城新街(今寡陵路上段)李梦林烟馆起火,100多户居民房屋被毁。6月县各职业团体和社会团体整顿完毕,计县农会1"
xianzhi,A,大会,p-0035,"成立。5月县城郊区天花大流行。11月23日国民代表","芯溪区域代表选举结束,翌年1月4日呈报省府和省选举事务所转呈中央,终定常诲清、杨廷椿为国大代表。冬对全县三青团员进行总甄核,国民党苍溪县党部与三青团苍溪县分团部合并,经甄核后的三青团员直接转为国民党员。是年县改15乡(镇)为20乡(镇)。民国37年〔(1948)1月乡(镇)民代表"
xianzhi,A,法院,p-0035,"国37年〔(1948)1月乡(镇)民代表选举中央立","立法委员,2月1日开箱计票,李显威当选。3月9日县卫生院收到美国红十字会及国际福利协会捐赠的药品、器材79种、139件。8月19日“废法币,发行“金圆券“。法币300万元兑换金圆券!元。同时颂布“财政紧急处分令“,收缴民间金银。9月“因金圆券贬值,又发行“银圆券“;银圆券又大贬值"
xianzhi,A,会议,p-0036,"区人民解放委员会派代表主持召开苍溪县解放委员会筹备","。2日,苍溪县解放委员会成立。【1月4日“中国人民解放军五四六团进驻苍溪、龙王、三川追剿赵子立部,除赵率小部突围溃逃外,其余被歼。1月9日“首批南下干部李寅、蔡宝山、白光亮、薛恩厚、薛昌泽、穆至善、李茂祥、马成麂、孙玉先、任德明、赵珊瑚、傅仕元、李子忠来苍溪工作。1月18日“苍漫"
xianzhi,A,土改,p-0036,"华人民共和国婚婀法》,1951年9月,区、乡政府、","工作团检查婚娩法执行情况,处理婚娼案件。3月22日“同善社骨干分子肖履臣等,蒙成河地乡琳琅村不明真相群众,拥戴梁何氏当“皇帝娘娘“,“去北京登位“。23日,县人民政府派公安干警拘捕8名首要分子,教育遣散受骗群众、喧嚣一时的反革命“皇娘“案被平息。3月“中国新民主主义青年团苍溪县工"
xianzhi,A,处理,p-0036,"年9月,区、乡政府、土改工作团检查婚娩法执行情况,","婚娼案件。3月22日“同善社骨干分子肖履臣等,蒙成河地乡琳琅村不明真相群众,拥戴梁何氏当“皇帝娘娘“,“去北京登位“。23日,县人民政府派公安干警拘捕8名首要分子,教育遣散受骗群众、喧嚣一时的反革命“皇娘“案被平息。3月“中国新民主主义青年团苍溪县工作委员会筹备小组建立,1952"
xianzhi,A,公安,p-0036,"“皇帝娘娘“,“去北京登位“。23日,县人民政府派","干警拘捕8名首要分子,教育遣散受骗群众、喧嚣一时的反革命“皇娘“案被平息。3月“中国新民主主义青年团苍溪县工作委员会筹备小组建立,1952年3月16日正式成立中国新民主主义青年团苍溪县工作委员会。4月3日苍溪县首届农民代表会议在县城召开,成立苍溪县农民协会筹备委员会。4月13日“"
xianzhi,A,拘捕,p-0036,"娘“,“去北京登位“。23日,县人民政府派公安干警","8名首要分子,教育遣散受骗群众、喧嚣一时的反革命“皇娘“案被平息。3月“中国新民主主义青年团苍溪县工作委员会筹备小组建立,1952年3月16日正式成立中国新民主主义青年团苍溪县工作委员会。4月3日苍溪县首届农民代表会议在县城召开,成立苍溪县农民协会筹备委员会。4月13日“中共苍滓"
xianzhi,A,反革命,p-0036,"干警拘捕8名首要分子,教育遣散受骗群众、喧嚣一时的","“皇娘“案被平息。3月“中国新民主主义青年团苍溪县工作委员会筹备小组建立,1952年3月16日正式成立中国新民主主义青年团苍溪县工作委员会。4月3日苍溪县首届农民代表会议在县城召开,成立苍溪县农民协会筹备委员会。4月13日“中共苍滓县委员会成立,李寅任政治委员(后改称书记)。4月"
